project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Arihant Aspire,7500000.0,,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,11,10,Resale,Under Construction,,Arihant Superstructures Ltd.
Surya Vihar,4000000.0,,,,Kalamboli,Navi Mumbai,19.0311212885643,73.1052711758489,Unfurnished,Commercial Shop,0,0,5,Resale,Ready to Move,,Unknown
Unkown,2000000.0,,1.0,1.0,Ghansoli,Navi Mumbai,19.1271933235627,72.9966520846173,Unfurnished,Apartment,0,0,9,Resale,Ready to Move,,Unknown
Maruti Nandan,5300000.0,400.0,1.0,1.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Semi-Furnished,Apartment,0,0,3,Resale,Ready to Move,,Unknown
Kaveri,6000000.0,600.0,2.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,0,8,Resale,Ready to Move,,Haware Properties
Laxmi Height,7000000.0,,1.0,2.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Semi-Furnished,Apartment,0,13,8,Resale,Ready to Move,,Aditya Projects & Developers
Unkown,2500000.0,,1.0,1.0,,Navi Mumbai,,,Semi-Furnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Gami Asters,25500000.0,1400.0,3.0,2.0,Ghansoli,Navi Mumbai,19.1271933235627,72.9966520846173,Unfurnished,Apartment,0,18,9,Resale,Ready to Move,,Gami Group
Parth Magnus,25000000.0,,2.0,2.0,Sanpada,Navi Mumbai,19.0583094914648,73.0164374121942,Unfurnished,Apartment,0,6,9,Resale,Ready to Move,,Parth Group
Emperia Garden,2100000.0,425.0,1.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Semi-Furnished,Apartment,0,56,10,Resale,Ready to Move,,Akshar Group
Valley Shilp,10500000.0,,2.0,2.0,Sector 36 Kamothe,Navi Mumbai,19.0248120846853,73.0906842633753,Unfurnished,Apartment,0,7,1,Resale,Ready to Move,,Cidco
Unkown,11000000.0,750.0,2.0,2.0,Sector 21 Kamothe,Navi Mumbai,19.01379332,73.09680615,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Unkown,6895000.0,458.0,1.0,1.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Semi-Furnished,Apartment,0,0,8,Resale,Ready to Move,1 Open,Unknown
Grow Riverside Greens,3500000.0,,1.0,1.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,16,10,Resale,Ready to Move,,GrowHomes
Juhi Avenue,20000000.0,750.0,2.0,2.0,Sector 50 Seawoods,Navi Mumbai,19.0137179623377,73.0229633500715,Furnished,Apartment,0,0,0,Resale,Ready to Move,,Juhi Developers
Arjun,8500000.0,,2.0,2.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,11,3,Resale,Ready to Move,,Om Shivam Builders Pvt. Ltd.
Unkown,5400000.0,,1.0,2.0,,Navi Mumbai,,,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Sai Sadan,4600000.0,,1.0,1.0,Karanjade,Navi Mumbai,18.974265373985,73.1099196329075,Unfurnished,Apartment,0,6,2,Resale,Ready to Move,,Shrijee Krupa Developers
Unkown,5400000.0,364.0,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Semi-Furnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Shivesh Aura,3300000.0,200.0,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Semi-Furnished,Apartment,0,0,6,Resale,Ready to Move,,Shivesh Developers
