project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Lodha Casa Bella Gold,4500000.0,494,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Bella Gold,4800000.0,414,1,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Bella Gold,9000000.0,661,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Unkown,7800000.0,836,3,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Lodha Casa Rio Gold,5300000.0,654,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Furnished,Apartment,0,44,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,4900000.0,634,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,44,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,7500000.0,670,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,44,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,5900000.0,673,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,44,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,6900000.0,698,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,44,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,8500000.0,860,3,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,5400000.0,629,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,3200000.0,420,1,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,7500000.0,894,3,3,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,3500000.0,500,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,5400000.0,641,2,3,Dombivli,Beyond Thane,19.2094006,73.0939483,Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,2500000.0,353,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
